sensor_name,latitude,longitude
Building 80 RMIT,-37.80825648,144.9630486
Spencer St-Collins St (South),-37.81909256,144.9545275
Chinatown-Lt Bourke St (South),-37.81172913,144.9682466
Flinders St-Spark La,-37.81537985,144.9741505
Bourke St Bridge,-37.8176735,144.950256
Lonsdale St-Spring St (West),-37.80999341,144.9722759
Lygon St (West),-37.8016968,144.9665891
Chinatown-Swanston St (North),-37.81237202,144.9655067
Lygon St (East),-37.80310271,144.9667145
Queen St (West),-37.81652527,144.9612106
Bourke St - Spencer St (North),-37.81686074,144.9535808
Webb Bridge,-37.82293543,144.9471751
Waterfront City,-37.81564989,144.939707
Collins Place (North),-37.81344861,144.9730535
QVM-Therry St (South),-37.80730067,144.9595606
QV Market-Elizabeth St (West),-37.80869542,144.960494
Australia on Collins,-37.81573423,144.9652104
Flinders St-Elizabeth St (East),-37.81786445,144.9650682
Spencer St-Collins St (North),-37.81887962,144.954492
QV Market-Peel St,-37.80606888,144.9564469
The Arts Centre,-37.82129924,144.9687931
Tin Alley-Swanston St (West),-37.79690473,144.9644038
Melbourne Central-Elizabeth St (East)Melbourne Central-Elizabeth St (East),-37.81160331,144.9622008
QVM-Queen St (East),-37.80631581,144.958667
QVM-Franklin St (North),-37.80841814,144.9590632
Victoria Point,-37.81876473,144.9471055
Monash Rd-Swanston St (West),-37.79844525,144.9641178
New Quay,-37.81457987,144.942924
Collins Street (North),-37.8156419,144.965499
Melbourne Central,-37.81101523,144.9642949
Southern Cross Station,-37.81982992,144.9510256
Lincoln-Swanston (West),-37.804024,144.963084
Lonsdale St (South),-37.81121849,144.9665681
Flinders Street Station Underpass,-37.81911704,144.9655826
Flinders St-Swanston St (West),-37.81723437,144.9671503
City Square,-37.81573742,144.9668572
Bourke St-Russell St (West),-37.81244703,144.9677876
Town Hall (West),-37.81487988,144.9660878
Pelham St (South),-37.80240719,144.9615673
Lonsdale St - Elizabeth St (North),-37.81234775,144.9615331
Flagstaff Station,-37.81239679,144.9565265
Grattan St-Swanston St (West),-37.80008565,144.9638641
Princes Bridge,-37.81874249,144.9678766
Faraday St-Lygon St (West),-37.79808191,144.9672101
Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401
Bourke Street Mall (South),-37.81380667,144.9651672
Southbank,-37.82017828,144.9650888
Bourke Street Mall (North),-37.8134944,144.9651532
Little Collins St-Swanston St (East),-37.81414074,144.9660938
RMIT Building 14,-37.80767455,144.9630912
Birrarung Marr,-37.81862929,144.971694
Elizabeth St-La Trobe St (East),-37.80988941,144.9613433
La Trobe St (North),-37.80996494,144.9621652
Flinders St-Spring St (West),-37.81483252,144.9745406
Sandridge Bridge,-37.82011242,144.962919
Flinders La-Swanston St (West),-37.81668633,144.9668973
Melbourne Convention Exhibition Centre,-37.82401776,144.9560443
Flinders La - Swanston St (West) Temporary,-37.81668188,144.9668954
St Kilda Rd-Alexandra Gardens,-37.81965808,144.9686345
231 Bourke St,-37.81333081,144.9667557
Royal Pde - Grattan St,-37.79949544,144.9579228
Alfred Place,-37.81379749,144.9699575
Collins Place (South),-37.81362542,144.9732359
Swanston St - City Square,-37.81569416,144.9668064
State Library - New,-37.81057845,144.9644429
State Library,-37.81064378,144.9644713
